강의,만족,스럽,매,주,쪽지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공부,하,입장,조금,힘들,부분,있,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
점수,혜자,고,내년,수강,하,19,들,부럽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,학기,때,영어,B,+,받,스캇,교수,님,강의,듣,강의,항상,10,분,씩,늦,들,오,좋,강의,적극적,참여,하,그것,좋아하,심,발표,점수,가장,크,듯,라이팅,다,들,무난,무난,하,점수,잘,주심,쨌,학점,잘,주,대,만족,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교수,님,학생,들,잘,배려,하,주,숙제,시험,부담,없,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괜춘,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨닝,페이퍼,1,장,가져오,하,시험,문제,푸,데,1,문제,그만큼,개념,잘,이해,하,응용,되,문제,풀,수,있,식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그렇,조,발표,알,들,크,남,시험,나오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경영학,이해,강의,암기,위주,과목,교수,님,그냥,읽,듯이,하,것,같,생각,종종,들,때,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중간,시험,없,대신,자신,소개,싶,책,한,권,십분,정도,발표,하,점수,다,비슷비슷,하,좋,점수,주,것,같,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출,결,숙제,관리,하,가장,중요,하,것,시험,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실습,강의,잘,따라가,무리,없이,하,수,있,정도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
퀴즈,같,것,없,다만,이,부분,이,번,학기,수강,생,많,못하,것,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS,퀴즈,그,학기,클래스,학생,수,적,보,않,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
좋,욤,강의,내용,쉽,듣,무리,없,숙제,없,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온라인,강의,충분히,이해,가능,숙제,통하,문제,유형,파악,잘,하,학점,잘,받,수,있,생각,하,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
빡,세,힘들,공부,하,하,컴퓨터,OS,전반,댸,이,하,오,개발,능력,향상,도움,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편하,하,학기,보내,싶,선택,하,좋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하,학기,동안,이,교수,강의,들,욕,많이,하,별로,생각하,외로,학점,잘,주,기분,좋,지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
재미있,강의,열심히,듣,것,후회,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영어,대하,스트레스,더,많이,생기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
처음,오,분,그렇,학생,들,대하,기,대치,높,부담,되,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
약간,암기,필요,하,용,문제,알리,주시,걱정,마시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본인,공부,한,만큼,나오,과목,것,같,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영화,주의,깊,보,쉽,풀,수,있,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대신,얻,가,것,2,도,없,강의,시간,폰,못하,답답,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
